cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.928006,38.940687,1.5446641500E+02,2.0435581000E+01,154.4665879,20.4357815,1.1831,1.3024,0.3712,17.092,null,null,1.047E+00,15.454,0.443,2.5,7.787E-01,10.234,0.186,5.8,1.258E+00,7.152,null,1.3,6.290E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,0,55329.823000,null,null,null,null,null,null,null
2,0.699375,72.103202,1.5455222700E+02,2.0445973000E+01,154.5524243,20.4460327,1.6013,1.7629,0.5002,17.030,null,null,6.599E-01,15.307,0.398,2.7,7.504E-01,10.603,0.280,3.9,1.211E+00,7.772,null,null,1.049E+00,2,0,0.000,0.000,0.000,0.000,0000,UCBU,0,55329.955304,null,null,null,null,null,null,null
3,1.331973,-40.031450,1.5463808400E+02,2.0456220000E+01,154.6378300,20.4565033,1.4506,1.5719,0.4975,16.089,null,1.6,1.199E+00,14.817,0.298,3.6,4.098E-01,10.659,0.294,3.7,7.062E-01,7.747,null,0.2,7.969E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55330.087608,null,null,null,null,null,null,null
4,4.425612,-31.489343,1.5472398500E+02,2.0466321000E+01,154.7232996,20.4673693,1.6970,1.9243,0.6004,16.281,null,1.6,7.322E-01,14.730,null,1.8,1.064E+00,10.736,0.311,3.5,9.224E-01,7.159,null,1.7,2.092E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55330.219912,null,null,null,null,null,null,null
6,1.463569,-44.594314,1.5489591900E+02,2.0486087000E+01,154.8956143,20.4863765,1.0602,1.1807,0.3643,16.982,null,null,1.247E+00,15.232,0.393,2.8,9.419E-01,10.145,0.179,6.1,1.491E+00,7.425,0.351,3.1,7.557E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBB,0,55330.484520,null,null,null,null,null,null,null
9,1.009339,-52.982570,1.5502502400E+02,2.0500512000E+01,155.0247850,20.5006808,1.6084,1.8576,0.5219,16.692,null,0.9,7.824E-01,15.491,null,0.3,1.209E+00,10.428,0.226,4.8,8.157E-01,7.839,null,0.1,5.788E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55330.683039,null,null,null,null,null,null,null
10,0.446318,134.566929,1.5506802600E+02,2.0505276000E+01,155.0681203,20.5051890,1.4819,1.6988,0.5490,16.965,null,null,8.914E-01,15.394,null,0.2,6.748E-01,10.453,0.229,4.7,5.374E-01,7.717,0.453,2.4,1.280E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,0,55330.749128,null,null,null,null,null,null,null
11,0.780689,145.631568,1.5506810900E+02,2.0505233000E+01,155.0682397,20.5050540,1.7574,2.0258,0.6110,16.713,null,1.0,1.086E+00,15.429,null,0.5,9.912E-01,10.551,0.248,4.4,9.241E-01,7.189,null,1.3,6.905E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55330.749255,null,null,null,null,null,null,null
12,0.797760,15.920602,1.5511112100E+02,2.0509961000E+01,155.1111859,20.5101741,1.5010,1.6869,0.5780,16.952,null,null,5.042E-01,15.494,null,0.2,1.059E+00,10.377,0.220,4.9,1.241E+00,7.609,null,0.5,7.459E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55330.815343,null,null,null,null,null,null,null
13,0.745776,-29.613779,1.5515414500E+02,2.0514653000E+01,155.1540357,20.5148331,1.3376,1.5241,0.5809,17.062,null,null,9.002E-01,15.228,0.379,2.9,9.701E-01,10.297,0.200,5.4,9.274E-01,7.574,null,0.6,9.329E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,0,55330.881432,null,null,null,null,null,null,null
